date,month,venue,R,prediction_file,result_file,prediction_mode,ticket_count,tickets,actual,payout_yen,actual_popularity,hit,hit_ticket_index,hit_role,investment_yen,return_yen,profit_yen,classification,classification_source,weather,wind_direction,wind_mps,wave_cm,display_full,st_full,odds_full,actual_1boat_win,ticket_1boat_head_count,danger_popularity_raw,hole_candidate_raw,display_entry_changed,actual_entry_changed,display_f_count,actual_f_count,st_abs_delta_avg,st_large_delta_count,winner_motor_2rate
2026-05-24,2026-05,芦屋,1,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,1-2-3|1-2-5|1-3-2|1-3-5|1-4-3|1-5-2|2-1-3|2-1-5|4-1-5|5-1-2,3-1-2,5250,18,0,,,1000,0,-1000,READ_MISS,auto_proxy,晴,無風,0.0,1.0,0,0,0,0,6,3号艇 深澤 達徳,5号艇 羽野 諒,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,2,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,1-4-5|1-4-6|4-1-5|4-1-6|1-5-4|1-3-4|5-1-4|5-4-1|6-1-4|4-5-1,1-2-4,5020,19,0,,,1000,0,-1000,READ_MISS,auto_proxy,晴,東,1.0,1.0,0,0,0,1,4,4号艇 毒島 誠,5号艇 畑 和宏,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,3,ashiya-predictions.txt,ashiya-results.txt,事前予想,10,1-3-2|1-2-3|1-3-4|1-2-4|1-3-5|3-1-2|3-1-4|2-1-3|3-4-1|1-4-3,1-2-3,470,1,1,2,厚め,1000,470,-530,TICKET_HIT,recomputed_ticket,曇り,南東,1.0,1.0,0,0,0,1,6,1号艇 深川 真二,3号艇 中田 友也,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,4,ashiya-predictions.txt,ashiya-results.txt,事前予想,10,1-3-5|1-2-3|1-5-3|1-3-2|1-2-5|1-5-4|5-1-3|3-1-5|5-3-1|1-4-5,3-1-5,12060,22,1,8,中穴,1000,12060,11060,TICKET_HIT,recomputed_ticket,曇り,南東,1.0,1.0,0,0,0,0,7,4号艇 本橋 克洋,5号艇 齊藤 廉,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,5,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,1-2-5|1-2-3|1-5-2|1-3-2|2-1-5|2-1-3|2-5-1|5-1-2|5-2-1|1-5-3,1-6-2,7040,33,0,,,1000,0,-1000,READ_MISS,auto_proxy,曇り,無風,0.0,1.0,0,0,0,1,5,6号艇 小林 泰,5号艇 上田 紗奈,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,6,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,1-2-4|1-4-6|1-4-2|2-1-4|4-1-6|2-4-6|4-2-6|1-2-6|6-1-4|4-6-2,6-4-2,8150,29,0,,,1000,0,-1000,STRUCTURE_MISS,auto_proxy,曇り,南西,2.0,2.0,0,0,0,0,4,1号艇 赤井 睦,4号艇 山一 鉄也,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,7,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,2-1-3|1-2-3|2-1-4|1-2-4|2-3-1|3-2-1|2-4-1|1-3-2|2-5-3|4-2-5,5-6-4,128560,107,0,,,1000,0,-1000,READ_MISS,auto_proxy,晴,西,3.0,3.0,0,0,0,0,3,1号艇 小畑 実成,5号艇 村田 敦,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,8,ashiya-predictions.txt,ashiya-results.txt,事前予想,10,3-1-4|3-1-2|3-2-4|1-3-4|1-3-5|3-4-1|4-3-1|1-4-3|4-1-3|3-4-5,2-3-4,3510,10,0,,,1000,0,-1000,READ_MISS,auto_proxy,晴,南西,3.0,3.0,0,0,0,0,3,6号艇 大神 康司,4号艇 深澤 達徳,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,9,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,4-1-5|1-4-5|4-1-6|4-5-1|1-4-6|4-3-1|3-4-1|1-4-2|5-4-1|4-6-5,1-4-2,3010,9,1,8,中穴,1000,3010,2010,TICKET_HIT,recomputed_ticket,晴,南西,3.0,3.0,0,0,0,1,3,2号艇 向井田 真紀,5号艇 川井 萌,0,0,0,0,,0,
2026-05-24,2026-05,芦屋,10,ashiya-predictions.txt,ashiya-results.txt,展示反映/不明,10,1-3-2|1-3-6|3-1-2|3-1-6|1-2-3|3-6-1|1-6-3|3-1-4|3-4-1|1-3-4,1-2-6,3440,17,0,,,1000,0,-1000,STRUCTURE_MISS,auto_proxy,晴,南西,4.0,4.0,0,0,0,1,5,6号艇 坂本 雄紀,4号艇 富田 恕生,0,0,0,0,,0,
