month,venue,races,hits,hit_rate_pct,investment_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,actual_1boat_win_rate_pct,TICKET_HIT,STRUCTURE_MISS,READ_MISS,DATA_HOLD,days
2026-05,常滑,59,26,44.07,58600,28130,-30470,48.0,1081.9,55.93,26,19,12,2,5
2026-05,桐生,36,16,44.44,36000,28160,-7840,78.22,1760.0,52.78,16,9,11,0,3
2026-05,芦屋,60,13,21.67,60000,30060,-29940,50.1,2312.3,51.67,13,22,25,0,5
2026-05,鳴門,36,10,27.78,36000,12730,-23270,35.36,1273.0,47.22,10,11,15,0,3
2026-06,びわこ,154,49,31.82,154000,150040,-3960,97.43,3062.0,58.44,49,70,28,7,13
2026-06,三国,204,55,26.96,203200,142250,-60950,70.0,2586.4,50.0,55,55,93,1,17
2026-06,下関,120,53,44.17,120000,99920,-20080,83.27,1885.3,61.67,53,45,19,3,10
2026-06,丸亀,142,41,28.87,142000,106980,-35020,75.34,2609.3,49.3,41,48,49,4,12
2026-06,住之江,48,22,45.83,48000,41630,-6370,86.73,1892.3,45.83,22,13,13,0,4
2026-06,児島,132,42,31.82,132000,105690,-26310,80.07,2516.4,55.3,42,56,30,4,11
2026-06,唐津,144,55,38.19,144000,125860,-18140,87.4,2288.4,57.64,55,37,52,0,12
2026-06,多摩川,156,61,39.1,156000,153550,-2450,98.43,2517.2,62.18,61,61,31,3,13
2026-06,大村,108,43,39.81,108000,55910,-52090,51.77,1300.2,68.52,43,37,25,3,9
2026-06,宮島,78,23,29.49,77900,47110,-30790,60.47,2048.3,56.41,23,30,20,5,7
2026-06,尼崎,120,38,31.67,120000,52190,-67810,43.49,1373.4,55.0,38,46,33,3,10
2026-06,常滑,204,72,35.29,202100,126090,-76010,62.39,1751.2,57.35,72,59,61,12,17
2026-06,平和島,84,22,26.19,84000,55340,-28660,65.88,2515.5,39.29,22,33,28,1,7
2026-06,徳山,168,57,33.93,168000,121100,-46900,72.08,2124.6,53.57,57,43,62,6,14
2026-06,戸田,108,33,30.56,108000,66320,-41680,61.41,2009.7,41.67,33,50,19,6,9
2026-06,桐生,179,50,27.93,177800,144790,-33010,81.43,2895.8,48.04,50,82,47,0,15
2026-06,江戸川,156,46,29.49,156000,99690,-56310,63.9,2167.2,44.87,46,60,45,5,13
2026-06,津,108,42,38.89,108000,61220,-46780,56.69,1457.6,53.7,42,30,36,0,9
2026-06,浜名湖,180,62,34.44,180000,128090,-51910,71.16,2066.0,54.44,62,61,40,17,15
2026-06,福岡,120,38,31.67,120000,60700,-59300,50.58,1597.4,52.5,38,51,23,8,10
2026-06,芦屋,168,59,35.12,167000,104530,-62470,62.59,1771.7,61.9,59,48,61,0,14
2026-06,若松,128,38,29.69,128000,160590,32590,125.46,4226.1,60.16,38,57,30,3,11
2026-06,蒲郡,214,77,35.98,213900,123530,-90370,57.75,1604.3,50.47,77,86,43,8,18
2026-06,鳴門,131,32,24.43,131000,103840,-27160,79.27,3245.0,53.44,32,40,57,2,11
2026-07,びわこ,228,60,26.32,228000,162680,-65320,71.35,2711.3,57.02,60,88,78,2,19
2026-07,三国,204,62,30.39,204000,259350,55350,127.13,4183.1,47.06,62,49,90,3,17
2026-07,下関,216,64,29.63,216000,129480,-86520,59.94,2023.1,60.65,64,101,41,10,18
2026-07,丸亀,192,67,34.9,192000,304120,112120,158.4,4539.1,56.77,67,59,66,0,16
2026-07,住之江,204,63,30.88,204000,189790,-14210,93.03,3012.5,50.49,63,62,79,0,17
2026-07,児島,240,68,28.33,240000,198750,-41250,82.81,2922.8,50.83,68,120,48,4,20
2026-07,唐津,240,73,30.42,239800,118250,-121550,49.31,1619.9,54.17,73,72,95,0,20
2026-07,多摩川,216,63,29.17,215900,134140,-81760,62.13,2129.2,54.17,63,63,89,1,18
2026-07,大村,228,86,37.72,228000,251250,23250,110.2,2921.5,58.77,86,63,79,0,19
2026-07,宮島,144,44,30.56,144000,107450,-36550,74.62,2442.0,50.0,44,66,21,13,12
2026-07,尼崎,216,71,32.87,216000,127970,-88030,59.25,1802.4,58.33,71,67,78,0,18
2026-07,常滑,264,93,35.23,264000,176380,-87620,66.81,1896.6,62.5,93,82,89,0,22
2026-07,平和島,240,66,27.5,240000,124970,-115030,52.07,1893.5,42.92,66,92,82,0,20
2026-07,徳山,180,71,39.44,180000,112920,-67080,62.73,1590.4,64.44,71,59,50,0,15
2026-07,戸田,180,52,28.89,179800,149470,-30330,83.13,2874.4,41.67,52,81,35,12,15
2026-07,桐生,216,65,30.09,216000,125360,-90640,58.04,1928.6,53.24,65,71,80,0,18
2026-07,江戸川,144,51,35.42,144000,120550,-23450,83.72,2363.7,47.22,51,62,22,9,12
2026-07,津,202,56,27.72,202000,163950,-38050,81.16,2927.7,50.5,56,56,90,0,17
2026-07,浜名湖,192,68,35.42,192000,173760,-18240,90.5,2555.3,53.12,68,89,29,6,16
2026-07,福岡,252,79,31.35,251900,219350,-32550,87.08,2776.6,57.94,79,67,106,0,21
2026-07,芦屋,204,67,32.84,204000,176420,-27580,86.48,2633.1,50.98,67,46,91,0,17
2026-07,若松,228,79,34.65,228000,149320,-78680,65.49,1890.1,60.53,79,83,66,0,19
2026-07,蒲郡,144,47,32.64,144000,176820,32820,122.79,3762.1,58.33,47,71,20,6,12
2026-07,鳴門,132,30,22.73,132000,65520,-66480,49.64,2184.0,56.82,30,46,56,0,11
2026-08,びわこ,168,48,28.57,168000,137390,-30610,81.78,2862.3,53.57,48,37,83,0,14
2026-08,三国,228,71,31.14,228000,139430,-88570,61.15,1963.8,56.14,71,60,92,5,19
2026-08,下関,252,90,35.71,252000,190770,-61230,75.7,2119.7,63.49,90,122,34,6,21
2026-08,丸亀,204,78,38.24,203900,157810,-46090,77.4,2023.2,58.33,78,36,90,0,17
2026-08,住之江,144,38,26.39,144000,58370,-85630,40.53,1536.1,56.94,38,38,68,0,12
2026-08,児島,204,60,29.41,204000,123680,-80320,60.63,2061.3,53.92,60,100,34,10,17
2026-08,唐津,204,80,39.22,204000,131260,-72740,64.34,1640.8,54.41,80,59,65,0,17
2026-08,多摩川,228,64,28.07,228000,120310,-107690,52.77,1879.8,52.19,64,59,105,0,19
2026-08,大村,175,73,41.71,175000,159890,-15110,91.37,2190.3,51.43,73,42,60,0,15
2026-08,宮島,216,65,30.09,216000,123450,-92550,57.15,1899.2,58.33,65,109,34,8,18
2026-08,尼崎,252,84,33.33,252000,197340,-54660,78.31,2349.3,57.14,84,71,97,0,21
2026-08,常滑,216,61,28.24,216000,177590,-38410,82.22,2911.3,60.65,61,84,71,0,18
2026-08,平和島,252,72,28.57,252000,185840,-66160,73.75,2581.1,34.92,72,55,125,0,21
2026-08,徳山,228,74,32.46,228000,119790,-108210,52.54,1618.8,52.19,74,88,66,0,19
2026-08,戸田,168,40,23.81,168000,72700,-95300,43.27,1817.5,38.1,40,58,70,0,14
2026-08,桐生,204,53,25.98,204000,147690,-56310,72.4,2786.6,56.37,53,64,87,0,17
2026-08,江戸川,144,39,27.08,144000,108610,-35390,75.42,2784.9,47.22,39,67,26,12,12
2026-08,津,216,72,33.33,216000,170640,-45360,79.0,2370.0,52.31,72,56,88,0,18
2026-08,浜名湖,228,65,28.51,228000,139910,-88090,61.36,2152.5,50.44,65,115,38,10,19
2026-08,福岡,180,45,25.0,180000,77540,-102460,43.08,1723.1,66.11,45,56,79,0,15
2026-08,芦屋,216,57,26.39,216000,154550,-61450,71.55,2711.4,58.33,57,60,99,0,18
2026-08,若松,228,72,31.58,228000,137160,-90840,60.16,1905.0,51.32,72,56,100,0,19
2026-08,蒲郡,180,80,44.44,180000,228390,48390,126.88,2854.9,51.67,80,77,21,2,15
2026-08,鳴門,180,49,27.22,180000,207820,27820,115.46,4241.2,52.78,49,48,83,0,15
2026-09,下関,24,11,45.83,24000,14220,-9780,59.25,1292.7,83.33,11,10,1,2,2
2026-09,住之江,24,7,29.17,24000,15020,-8980,62.58,2145.7,58.33,7,7,10,0,2
2026-09,児島,24,9,37.5,24000,30820,6820,128.42,3424.4,41.67,9,11,3,1,2
2026-09,多摩川,24,6,25.0,24000,17290,-6710,72.04,2881.7,41.67,6,6,12,0,2
2026-09,大村,4,2,50.0,4000,1190,-2810,29.75,595.0,75.0,2,0,2,0,1
2026-09,宮島,12,4,33.33,12000,6750,-5250,56.25,1687.5,66.67,4,5,3,0,1
2026-09,尼崎,24,9,37.5,24000,20130,-3870,83.88,2236.7,37.5,9,6,9,0,2
2026-09,常滑,24,10,41.67,24000,13720,-10280,57.17,1372.0,54.17,10,6,8,0,2
2026-09,徳山,24,11,45.83,24000,20080,-3920,83.67,1825.5,62.5,11,2,11,0,2
2026-09,浜名湖,24,9,37.5,24000,17470,-6530,72.79,1941.1,45.83,9,10,4,1,2
2026-09,福岡,12,4,33.33,12000,4220,-7780,35.17,1055.0,75.0,4,2,6,0,1
2026-09,芦屋,24,8,33.33,24000,11270,-12730,46.96,1408.8,66.67,8,5,11,0,2
2026-09,若松,24,5,20.83,24000,15190,-8810,63.29,3038.0,33.33,5,3,16,0,2
2026-09,蒲郡,12,3,25.0,12000,12810,810,106.75,4270.0,41.67,3,7,2,0,1
