venue,races,hits,hit_rate_pct,investment_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,actual_1boat_win_rate_pct,TICKET_HIT,STRUCTURE_MISS,READ_MISS,DATA_HOLD,days
びわこ,550,157,28.55,550000,450110,-99890,81.84,2866.9,56.36,157,195,189,9,46
三国,636,188,29.56,635200,541030,-94170,85.17,2877.8,51.26,188,164,275,9,53
下関,612,218,35.62,612000,434390,-177610,70.98,1992.6,62.91,218,278,95,21,51
丸亀,538,186,34.57,537900,568910,31010,105.77,3058.7,55.39,186,143,205,4,45
住之江,420,130,30.95,420000,304810,-115190,72.57,2344.7,52.62,130,120,170,0,35
児島,600,179,29.83,600000,458940,-141060,76.49,2563.9,52.5,179,287,115,19,50
唐津,588,208,35.37,587800,375370,-212430,63.86,1804.7,55.1,208,168,212,0,49
多摩川,624,194,31.09,623900,425290,-198610,68.17,2192.2,54.97,194,189,237,4,52
大村,515,204,39.61,515000,468240,-46760,90.92,2295.3,58.45,204,142,166,3,44
宮島,450,136,30.22,449900,284760,-165140,63.29,2093.8,55.56,136,210,78,26,38
尼崎,612,202,33.01,612000,397630,-214370,64.97,1968.5,56.37,202,190,217,3,51
常滑,767,262,34.16,764700,521910,-242790,68.25,1992.0,59.84,262,250,241,14,64
平和島,576,160,27.78,576000,366150,-209850,63.57,2288.4,38.89,160,180,235,1,48
徳山,600,213,35.5,600000,373890,-226110,62.31,1755.4,56.67,213,192,189,6,50
戸田,456,125,27.41,455800,288490,-167310,63.29,2307.9,40.35,125,189,124,18,38
桐生,635,184,28.98,633800,446000,-187800,70.37,2423.9,52.76,184,226,225,0,53
江戸川,444,136,30.63,444000,328850,-115150,74.07,2418.0,46.4,136,189,93,26,37
津,526,170,32.32,526000,395810,-130190,75.25,2328.3,51.9,170,142,214,0,44
浜名湖,624,204,32.69,624000,459230,-164770,73.59,2251.1,52.24,204,275,111,34,52
福岡,564,166,29.43,563900,361810,-202090,64.16,2179.6,59.75,166,176,214,8,47
芦屋,672,204,30.36,671000,476830,-194170,71.06,2337.4,56.7,204,181,287,0,56
若松,608,194,31.91,608000,462260,-145740,76.03,2382.8,55.92,194,199,212,3,51
蒲郡,550,207,37.64,549900,541550,-8350,98.48,2616.2,52.73,207,241,86,16,46
鳴門,479,121,25.26,479000,389910,-89090,81.4,3222.4,53.65,121,145,211,2,40
