month,classification,races,rate_pct
2026-05,TICKET_HIT,65,34.03
2026-05,STRUCTURE_MISS,61,31.94
2026-05,READ_MISS,63,32.98
2026-05,DATA_HOLD,2,1.05
2026-06,TICKET_HIT,1110,33.09
2026-06,STRUCTURE_MISS,1198,35.72
2026-06,READ_MISS,945,28.18
2026-06,DATA_HOLD,101,3.01
2026-07,TICKET_HIT,1545,31.49
2026-07,STRUCTURE_MISS,1715,34.96
2026-07,READ_MISS,1580,32.21
2026-07,DATA_HOLD,66,1.35
2026-08,TICKET_HIT,1530,31.13
2026-08,STRUCTURE_MISS,1617,32.9
2026-08,READ_MISS,1715,34.89
2026-08,DATA_HOLD,53,1.08
2026-09,TICKET_HIT,98,35.0
2026-09,STRUCTURE_MISS,80,28.57
2026-09,READ_MISS,98,35.0
2026-09,DATA_HOLD,4,1.43
