month,result_type,races,hits,hit_rate_pct,investment_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,actual_1boat_win_rate_pct,avg_1boat_head_tickets
2026-05,1号艇1着,100,46,46.0,99800,51730,-48070,51.83,1124.6,100.0,4.49
2026-05,1号艇非1着,91,19,20.88,90800,47350,-43450,52.15,2492.1,0.0,3.43
2026-06,1号艇1着,1814,726,40.02,1810500,866160,-944340,47.84,1193.1,100.0,3.79
2026-06,1号艇非1着,1540,384,24.94,1538400,1570800,32400,102.11,4090.6,0.0,2.74
2026-07,1号艇1着,2663,960,36.05,2662700,1186190,-1476510,44.55,1235.6,100.0,3.56
2026-07,1号艇非1着,2243,585,26.08,2242700,2731830,489130,121.81,4669.8,0.0,2.46
2026-08,1号艇1着,2642,964,36.49,2642000,1144780,-1497220,43.33,1187.5,100.0,3.69
2026-08,1号艇非1着,2273,566,24.9,2272900,2323150,50250,102.21,4104.5,0.0,2.56
2026-09,1号艇1着,151,57,37.75,151000,74270,-76730,49.19,1303.0,100.0,3.9
2026-09,1号艇非1着,129,41,31.78,129000,125910,-3090,97.6,3071.0,0.0,2.51
