month,wind_band,races,hits,hit_rate_pct,investment_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,actual_1boat_win_rate_pct
2026-05,0〜2m,87,31,35.63,87000,48140,-38860,55.33,1552.9,55.17
2026-05,3〜4m,59,21,35.59,59000,32070,-26930,54.36,1527.1,50.85
2026-05,5〜6m,29,5,17.24,29000,9230,-19770,31.83,1846.0,48.28
2026-05,7m以上,16,8,50.0,15600,9640,-5960,61.79,1205.0,50.0
2026-06,0〜2m,1801,605,33.59,1798700,1324230,-474470,73.62,2188.8,56.02
2026-06,3〜4m,1197,393,32.83,1195400,900610,-294790,75.34,2291.6,52.63
2026-06,5〜6m,295,94,31.86,294000,179180,-114820,60.95,1906.2,50.17
2026-06,7m以上,61,18,29.51,60800,32940,-27860,54.18,1830.0,44.26
2026-07,0〜2m,2395,757,31.61,2394900,1974260,-420640,82.44,2608.0,56.16
2026-07,3〜4m,2046,639,31.23,2045600,1588940,-456660,77.68,2486.6,52.88
2026-07,5〜6m,407,132,32.43,406900,307400,-99500,75.55,2328.8,51.6
2026-07,7m以上,57,17,29.82,57000,47420,-9580,83.19,2789.4,43.86
2026-07,不明,1,0,0.0,1000,0,-1000,0.0,0,100.0
2026-08,0〜2m,2175,692,31.82,2175000,1484410,-690590,68.25,2145.1,56.0
2026-08,3〜4m,2021,636,31.47,2021000,1524410,-496590,75.43,2396.9,53.79
2026-08,5〜6m,578,164,28.37,577900,352650,-225250,61.02,2150.3,48.96
2026-08,7m以上,141,38,26.95,141000,106460,-34540,75.5,2801.6,38.3
2026-09,0〜2m,117,36,30.77,117000,73860,-43140,63.13,2051.7,55.56
2026-09,3〜4m,148,58,39.19,148000,104880,-43120,70.86,1808.3,54.05
2026-09,5〜6m,11,3,27.27,11000,17750,6750,161.36,5916.7,45.45
2026-09,7m以上,4,1,25.0,4000,3690,-310,92.25,3690.0,25.0
