month,wind_direction,races,hits,hit_rate_pct,investment_yen,return_yen,profit_yen,roi_pct,avg_hit_payout_yen,actual_1boat_win_rate_pct
2026-05,北,2,0,0.0,2000,0,-2000,0.0,0,0.0
2026-05,北東,5,2,40.0,5000,2560,-2440,51.2,1280.0,40.0
2026-05,北西,2,1,50.0,2000,1060,-940,53.0,1060.0,0.0
2026-05,南,5,4,80.0,5000,3760,-1240,75.2,940.0,80.0
2026-05,南南東,13,3,23.08,13000,3190,-9810,24.54,1063.3,46.15
2026-05,南南西,16,9,56.25,16000,14290,-1710,89.31,1587.8,50.0
2026-05,南東,24,8,33.33,24000,18980,-5020,79.08,2372.5,58.33
2026-05,南西,30,10,33.33,30000,10530,-19470,35.1,1053.0,60.0
2026-05,東,22,5,22.73,22000,7620,-14380,34.64,1524.0,45.45
2026-05,東南東,3,2,66.67,3000,7100,4100,236.67,3550.0,100.0
2026-05,無風,3,1,33.33,3000,610,-2390,20.33,610.0,66.67
2026-05,西,62,18,29.03,61600,25800,-35800,41.88,1433.3,50.0
2026-05,西南西,4,2,50.0,4000,3580,-420,89.5,1790.0,50.0
2026-06,北,96,36,37.5,96000,59330,-36670,61.8,1648.1,57.29
2026-06,北北東,146,42,28.77,146000,76860,-69140,52.64,1830.0,46.58
2026-06,北北西,91,24,26.37,91000,66600,-24400,73.19,2775.0,61.54
2026-06,北東,128,39,30.47,128000,71960,-56040,56.22,1845.1,53.12
2026-06,北西,124,35,28.23,124000,67480,-56520,54.42,1928.0,48.39
2026-06,南,362,139,38.4,361400,282700,-78700,78.22,2033.8,60.77
2026-06,南南東,62,25,40.32,62000,50290,-11710,81.11,2011.6,53.23
2026-06,南南西,182,51,28.02,180800,126410,-54390,69.92,2478.6,49.45
2026-06,南東,359,132,36.77,357400,293290,-64110,82.06,2221.9,58.77
2026-06,南西,297,106,35.69,296600,208080,-88520,70.16,1963.0,52.53
2026-06,東,254,78,30.71,253600,179770,-73830,70.89,2304.7,54.72
2026-06,東北東,223,67,30.04,223000,144140,-78860,64.64,2151.3,48.43
2026-06,東南東,151,59,39.07,151000,185120,34120,122.6,3137.6,50.99
2026-06,無風,188,69,36.7,188000,134320,-53680,71.45,1946.7,56.91
2026-06,西,350,107,30.57,349900,283130,-66770,80.92,2646.1,53.14
2026-06,西北西,185,61,32.97,184800,137760,-47040,74.55,2258.4,48.11
2026-06,西南西,156,40,25.64,155400,69720,-85680,44.86,1743.0,58.33
2026-07,北,174,46,26.44,174000,112680,-61320,64.76,2449.6,54.02
2026-07,北北東,223,76,34.08,223000,236330,13330,105.98,3109.6,53.36
2026-07,北北西,128,46,35.94,127900,83450,-44450,65.25,1814.1,54.69
2026-07,北東,183,51,27.87,183000,86840,-96160,47.45,1702.7,57.38
2026-07,北西,257,83,32.3,257000,247850,-9150,96.44,2986.1,53.7
2026-07,南,411,142,34.55,410900,300180,-110720,73.05,2113.9,62.53
2026-07,南南東,127,45,35.43,126900,105910,-20990,83.46,2353.6,56.69
2026-07,南南西,253,76,30.04,253000,204480,-48520,80.82,2690.5,52.17
2026-07,南東,521,177,33.97,521000,483050,-37950,92.72,2729.1,57.58
2026-07,南西,443,150,33.86,443000,522780,79780,118.01,3485.2,55.3
2026-07,未取得（公式ページは方角を画像表示）,2,0,0.0,2000,0,-2000,0.0,0,50.0
2026-07,東,418,125,29.9,418000,274080,-143920,65.57,2192.6,51.2
2026-07,東北東,305,96,31.48,304800,264210,-40590,86.68,2752.2,46.56
2026-07,東南東,242,67,27.69,242000,139910,-102090,57.81,2088.2,54.96
2026-07,無風,193,59,30.57,193000,161200,-31800,83.52,2732.2,56.99
2026-07,確認中,1,0,0.0,1000,0,-1000,0.0,0,100.0
2026-07,西,466,140,30.04,466000,318240,-147760,68.29,2273.1,50.21
2026-07,西北西,352,100,28.41,351900,195660,-156240,55.6,1956.6,55.4
2026-07,西南西,207,66,31.88,207000,181170,-25830,87.52,2745.0,48.79
2026-08,北,72,28,38.89,72000,52490,-19510,72.9,1874.6,61.11
2026-08,北北東,147,58,39.46,147000,103010,-43990,70.07,1776.0,55.78
2026-08,北北西,81,25,30.86,81000,59140,-21860,73.01,2365.6,48.15
2026-08,北東,150,45,30.0,150000,71470,-78530,47.65,1588.2,57.33
2026-08,北西,176,55,31.25,176000,100130,-75870,56.89,1820.5,51.14
2026-08,南,416,134,32.21,416000,360210,-55790,86.59,2688.1,57.69
2026-08,南南東,100,23,23.0,100000,54030,-45970,54.03,2349.1,44.0
2026-08,南南西,262,69,26.34,262000,142270,-119730,54.3,2061.9,62.21
2026-08,南東,498,179,35.94,498000,388370,-109630,77.99,2169.7,57.83
2026-08,南西,516,159,30.81,516000,347770,-168230,67.4,2187.2,56.59
2026-08,東,370,106,28.65,369900,217650,-152250,58.84,2053.3,51.08
2026-08,東北東,426,121,28.4,426000,294820,-131180,69.21,2436.5,51.41
2026-08,東南東,336,113,33.63,336000,221350,-114650,65.88,1958.8,50.89
2026-08,無風,211,60,28.44,211000,109990,-101010,52.13,1833.2,50.71
2026-08,西,755,226,29.93,755000,668880,-86120,88.59,2959.6,48.48
2026-08,西北西,184,59,32.07,184000,112760,-71240,61.28,1911.2,59.78
2026-08,西南西,215,70,32.56,215000,163590,-51410,76.09,2337.0,52.09
2026-09,北,2,0,0.0,2000,0,-2000,0.0,0,50.0
2026-09,北北西,3,2,66.67,3000,2260,-740,75.33,1130.0,66.67
2026-09,北東,3,2,66.67,3000,3600,600,120.0,1800.0,66.67
2026-09,北西,1,0,0.0,1000,0,-1000,0.0,0,100.0
2026-09,南,65,26,40.0,65000,44820,-20180,68.95,1723.8,55.38
2026-09,南南東,3,0,0.0,3000,0,-3000,0.0,0,33.33
2026-09,南南西,13,4,30.77,13000,4220,-8780,32.46,1055.0,76.92
2026-09,南東,32,12,37.5,32000,27380,-4620,85.56,2281.7,68.75
2026-09,南東（添付原文）,4,2,50.0,4000,1190,-2810,29.75,595.0,75.0
2026-09,南西,55,19,34.55,55000,56090,1090,101.98,2952.1,41.82
2026-09,東,11,2,18.18,11000,1780,-9220,16.18,890.0,63.64
2026-09,東北東,1,1,100.0,1000,3530,2530,353.0,3530.0,100.0
2026-09,東南東,22,5,22.73,22000,15190,-6810,69.05,3038.0,36.36
2026-09,無風,19,6,31.58,19000,14470,-4530,76.16,2411.7,52.63
2026-09,西,31,13,41.94,31000,16490,-14510,53.19,1268.5,64.52
2026-09,西北西,9,3,33.33,9000,8170,-830,90.78,2723.3,11.11
2026-09,西南西,6,1,16.67,6000,990,-5010,16.5,990.0,50.0
