item,count,note
prediction_files,1150,予想ファイル数
normalized_races,13788,予想側から分割できたレース数
valid_recomputed_races,13646,保存買い目と実3連単を再照合できたレース
unmatched_result_files,1,対応resultsを特定できなかったpredictionファイル
ticket_parse_fail_races,119,保存買い目を機械抽出できなかったレース
result_parse_fail_races,23,実3連単を抽出できなかったレース
summary_classified_races,3022,既存summary v2分類を採用できたレース
classification_auto_proxy,6276,summary分類が無く自動proxyで分類したレース。読み/構成の厳密監査では要再確認
summary_source_files_used,578,レース分類を抽出できたsummaryファイル
summary_class_collision,6,同一日会場Rで異なる分類が見つかった件数
